State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,266,1763
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,75.5,15.86
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut,717,208.5
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,18284.74,68580000
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies,60,102
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger,102,326.4
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,other oilseeds,4.2,0.3
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Arecanut,1264.7,805.85
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,66.42,404.12
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Black pepper,85,15.86
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Cashewnut,683.5,197.9
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,18394.7,52380000
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry chillies,60,145.2
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry ginger,118,366
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,other oilseeds,1,0.11
Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Arecanut,795.67,
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,22,582
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,41,0.1
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Cashewnut,450,55.8
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Coconut ,13876.57,52030000
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Dry chillies,17,
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Turmeric,10,70
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Arecanut,896,477.6
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,198,976
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,22.16,0.68
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Cashewnut,450,85.13
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Coconut ,14358,59370000
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry chillies,3,9
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry ginger,6,21
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sugarcane,0.2,0.5
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sweet potato,18,86
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Tapioca,52.03,450
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Turmeric,2.5,1.03
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Sugarcane,13.4,41.75
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Arecanut,944,1610
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Black pepper,23,8.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Cashewnut,1000.5,260.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry chillies,12,25
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry ginger,7,9.64
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Maize,3.84,18.22
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Moong(Green Gram),1.5,1.1
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Sweet potato,22,208
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Turmeric,2,0.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Urad,1.5,1.16
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,593,3425
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Coconut ,14560,71300000
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Tapioca,69,575
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Arecanut,3100,5200
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Other Kharif pulses,668,448
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779,31863
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Banana,1531,12073
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Cashewnut,80,54
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Coconut ,6992,23900000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Dry ginger,352,1120
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,other oilseeds,133,55
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sugarcane,141,3736
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sweet potato,78,843
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Tapioca,160,2108
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Arecanut,3100,5239
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Other Kharif pulses,418,199
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,9718,27033
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Cashewnut,81,33
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Coconut ,7015,25250000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Dry ginger,344,1124
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sugarcane,81,2379
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sweet potato,100,5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6854.3,18995.62
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Arecanut,1160,3011.7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Banana,957.57,8582
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Black pepper,175,191.14
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Cashewnut,40.5,44
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Coconut ,3575,15400000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry chillies,235.72,824.3
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry ginger,98.66,929
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,other oilseeds,35.62,21.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sugarcane,71.3,1500
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sweet potato,30,240
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Tapioca,255,1420
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Turmeric,68,408
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791,20118
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Sugarcane,73.33,889.2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Arecanut,1296,2290
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Arhar/Tur,294.5,90.8
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Black pepper,168,13.5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Cashewnut,84.5,39
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry chillies,254,402
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry ginger,110,1011.84
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Groundnut,4.75,6.8
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Maize,86.7,96.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Moong(Green Gram),1168.6,556.55
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sunflower,2.9,1.9
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sweet potato,109,480
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Turmeric,68,376.5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Urad,1059.5,458.79
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Banana,657,7968
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Coconut ,3668,12700000
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Tapioca,186.5,1355
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,10695.8,31600.82
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Arecanut,3105,5267
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Banana,1524,10882
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Black pepper,487,102.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Cashewnut,81,24
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Coconut ,7060,26830000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Dry chillies,239,20.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Dry ginger,352,1145
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,other oilseeds,85.1,40.31
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Sugarcane,455,13760
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,10509.37,30760.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Arecanut,3118,5182
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Banana,1530,11558
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Black pepper,497,104.37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Cashewnut,116.5,26.14
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Coconut ,7110,26660000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry chillies,340,578
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry ginger,406,1299.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,other oilseeds,82.09,35.51
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Sugarcane,268,2879.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,10681.98,29119.66
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Arecanut,3160.67,3975.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Banana,1912.1,17374.4
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Black pepper,570,104.36
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Cashewnut,116.5,25.1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Coconut ,7156.7,34750000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Dry chillies,340,822.8
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Dry ginger,410,1462
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,other oilseeds,89.3,46.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Sugarcane,145.26,1560
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,8683.38,25870.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Arecanut,3250.78,3058.46
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Banana,1656.8,10251.13
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Black pepper,656.45,35.95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Cashewnut,118.5,30.22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Coconut ,7050.45,26430000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry chillies,370.7,877.6
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry ginger,200,1800
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,other oilseeds,53.55,34.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sugarcane,128.02,2448.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sweet potato,131.9,700.35
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Tapioca,254.5,1480
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Turmeric,81.7,572
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,921.87,2539.64
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Arecanut,2000,2350
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Banana,483,4150
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Black pepper,413.1,20.18
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Cashewnut,79.5,26
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Coconut ,3483.09,14190000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry chillies,124.6,34.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry ginger,100.9,900
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,other oilseeds,24,14.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sugarcane,53.5,999.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sweet potato,30.4,220
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Tapioca,40,160
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Turmeric,10,60
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Sugarcane,67.5,402
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arecanut,1912,1900
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arhar/Tur,20.5,13.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Black pepper,409,98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Cashewnut,15,10.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry chillies,128,148
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry ginger,94,828.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Groundnut,15.5,7.6
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Maize,73,253
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Moong(Green Gram),29.9,17.85
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sunflower,1,0.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sweet potato,32,235
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Turmeric,10,105
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Urad,34,15.05
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Banana,360,5517
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Coconut ,3540,11000000
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Tapioca,22.5,220
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Arhar/Tur,21400,2600
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Bajra,1400,500
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Castor seed,1000,100
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Cotton(lint),7300,9400
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Dry chillies,3700,7100
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Groundnut,650800,228400
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Horse-gram,3300,1000
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Jowar,10100,10200
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Korra,2200,700
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Maize,2800,4900
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Moong(Green Gram),1300,500
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Other Kharif pulses,800,100
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Ragi,6700,11800
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600,75400
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,700,72900
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sunflower,35900,11100
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Tobacco,200,200
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Dry chillies,100,100
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Gram,28000,14800
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Groundnut,20200,21700
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Horse-gram,600,200
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Jowar,18800,9400
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Korra,100,100
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Maize,600,2400
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Ragi,600,1000
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000,37300
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Sunflower,30100,11100
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Wheat,300,200
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Arhar/Tur,27400,9100
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Bajra,2600,1900
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Castor seed,3200,1000
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Cotton(lint),14000,12900
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Dry chillies,4000,10000
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Groundnut,755200,867800
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Horse-gram,2300,900
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Jowar,3700,5800
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Korra,4600,3400
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Maize,3300,6700
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Moong(Green Gram),2100,1300
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Other Kharif pulses,2000,300
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Ragi,7000,14900
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300,96800
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Sunflower,21300,12200
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Dry chillies,200,200
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Gram,26200,25900
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Groundnut,25900,35800
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Horse-gram,700,500
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Jowar,14800,22100
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Maize,300,1600
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Ragi,700,1200
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600,63900
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Sunflower,13500,3300
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Wheat,400,200
Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Sugarcane,700,65900
Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Tobacco,100,100
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Bajra,1635,889
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Castor seed,1880,355
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Cotton(lint),9453,10510
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Groundnut,694865,249457
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Horse-gram,1762,495
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Jowar,11131,14582
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Maize,3358,9540
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Masoor,23117,3861
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Moong(Green Gram),1546,1098
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Ragi,6215,11467
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,37991,105082
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Sesamum,8,2
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Urad,4,2
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Bajra,99,54
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Gram,26835,9365
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Groundnut,21785,25358
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Horse-gram,1071,327
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Jowar,21487,30576
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Linseed,12,1
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Maize,455,2203
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Masoor,98,10
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Moong(Green Gram),1,1
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Ragi,734,1180
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Rice,20258,45669
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Safflower,881,145
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Sesamum,10,2
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Wheat,439,294
Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Dry chillies,5199,5759
Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Onion,1770,32364
Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Sugarcane,884,83126
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Arhar/Tur,30693,7888
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Bajra,2477,1449
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Castor seed,9315,2831
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Cotton(lint),12025,16128
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Dry chillies,3755,10146
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Gram,21,14
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Groundnut,791559,884963
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Horse-gram,601,215
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Jowar,5071,14351
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Korra,1626,1143
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Maize,3475,9049
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Moong(Green Gram),1744,774
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Onion,1103,15470
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Other Kharif pulses,3167,559
